,Accident ID,Event Type,Industry Type,Accident Title,Start Date,Finish Date,Accident Description,Causes of the accident,Consequences,Emergency response,Lesson Learned
0,506,Major Accident,Processing of metals,Fire destroyed the workshops of an installation producing welded wire containers,2003-06-30 02:00:00,2003-06-30 00:00:00,"One Monday morning a fire destroyed the 14,000 m² of workshops of an installation producing welded wire containers.This accident is notified due to the relevance of the material damage and loss of production estimated at 22,000,000 Euro.","The hypothesis of an accidental fire is being considered, the fire could have started in two electrical equipment boxes releasing automatically the heating of the pickling baths several hours before the first shift started. A criminal action causing the accident is not excluded, considering the fact that signs of intrusion and indications of several fires being started were found.","Material damage and loss of production damage on the site are estimated at 22,000,000 Euro, while 1,000,000 Euro had been invested over 2 years in technical improvement measures.","50 fire fighters participated in the emergency response action to control the fire. The Classified Installation Inspectorate suggested issuing an urgent prefectural decree requesting the operator to put up beacons to mark the site, restrict access and install rain protection systems in the polluted areas, dispose of liquid waste and asbestos through authorised companies as well as the analyse the ground in different parts of the installation.",Reinforce the&nbsp;fight against intrusion
1,385,Major Accident,Plastic and rubber manufacture,Release of hazardous substances (phenol-water solution) from the dosing system of a chemical reactor,2002-06-03 00:00:00,2002-06-03 00:00:00,"Release of hazardous substances from the dosing system of a chemical reactorReleasing event / accident dynamics: On 03/06/2002 hazardous substances were released&nbsp; from the dosing system of a reactor. Consequent to&nbsp; this event an employee was fatally injured. At the time of the occurrence the dosage system was undergoing technical modifications with the goal of increasing the dosage range of formaldehyde. The modification consisted in adding two ball valves to the two existing control valves in order to increase the technical safety of the system. To perform the modification disassembling of the two existing control valves and of partial pipe sections was necessary.An employee was given the job of preparing the disassembling operation by disconnecting the pneumatic and the electric connections from the valve bodies and installing the connections for the pneumatic and electric control of the new ball valves.These operations were prepared correctly and partially performed. At the time of the occurrence one of the control valves still had to be&nbsp; installed and consequently the pneumatic and electrical control systems were not connected.The point in which the valve was to be installed was not sealed.Approximately 30 litres of a 93% phenol-water solution at 508 C were released by an operational error of the employee, who activated via a function switch the opening and closing of a pneumatic ball valve in the phenol dosage section. The employee was severely&nbsp; burnt on his lower left body. Logically he left the accident place and rapidly went to the emergency&nbsp; shower in order to rinse his body and his clothes. There he lost control and fell unconscious.","Due to an unexplainable reason the employee opened the
phenol-water solution dosing valve to the reactors which was located in
front of him. The phenol contained in that section was partially
released through the opening.
This opening was located approximately 0.5 m from his left shoe.
Approximately 30 litres of water-phenol solution released from the
opening hit a flange in front and sprayed the employee, who was
severely burnt on both his feet and his lower left body. The employee
must have immediately noticed his error and rapidly closed the valve.
He rapidly climbed down from his working place and was probably hit on
other parts of his body by dripping phenol-water solution. He walked
very rapidly to the emergency shower some 30 metres away and rinsed his
body and his clothes.&nbsp;
",not given,Safety function: - shut-down of the circulation by switching off the pump and closing the two valves upstream and downstream from the pump;- closing of the main valve- flushing of the formaldehyde system in the reactor with water and emptying of the piping by vacuum pressure.The main valve was closed as a precautionary measure even if work was not performed on the phenol system.Additionally to the obligatory clothing a protective mask with a type A brown filter (organic vapours and solvents) and protective gloves were defined as mandatory personal protection equipment.The regulations concerning the personal protection equipment were mandatory for the fitters. They were exposed to a certain residual hazards during the disassembling operations of the pipeline.The operation monitoring and control mechanics in charge of the operations on the installed systems or those still to be installed were not obliged to wear personal protection equipment apart from the obligatory clothing.The obligatory clothing consists of a boiler suit and safety shoes.Emergency measures:Safety measures:Preventive closure of the building.Protective measures by external emergency response services:Atmospheric measurements inside the production building to determine residual hazards,Additionally to the obligatory clothing a protective mask with a type A brown filter ( organic vapours and solvents) and protective gloves have been defined as mandatory personal protection equipment.The regulations concerning the personal protection equipment were mandatory for the&nbsp;&nbsp; fitters They were exposed to a certain residual hazards during the disassembling operations of the pipeline.The operation monitoring and control mechanics in charge of the operations on the installed systems or those still to be installed were not obliged to wear personal protection equipment apart from the obligatory clothing.The obligatory clothing consists of a boiler suit and safety shoes.
2,1016,Major Accident,Petrochemical / Oil Refineries,Sludge overflow at a petrochemical site,2010-08-01 09:30:00,2010-08-05 22:20:00,"Sludge bulking caused by the growth of filamentous bacteria in the biological treatment plant for industrial effluents at a large chemical site. Organic sludge decanting in the clarifiers was rendered impossible, causing the sludge to overflow into the final physicochemical treatment plant, which rapidly became saturated. Effluent leaving the plant was discharged into the natural environment (first into the river Merle and then into the Rosselle). The water became brown and turbid. The official limits values for SM (suspended matter), COD (chemical oxygen demand) and BOD5 (biological oxygen demand under 5 j) were significantly exceeded at the point of exit from the plant. The potentially affected river Rosselle flows into the Saar in Germany. The German authorities have been informed by the Civil Protection authorities via cross-border procedures. The operator informed the authority for the inspection of classified installations and drew up a press release on 4 August.","The operator is considering several possible explanations for the appearance of filamentous bacteria: accidental destruction of biomass, lack of oxygenation, nutrient deficiency, variation in gross load at the entrance to the plant, adverse climatic conditions (high temperature)",The potentially affected river Rosselle flows into the Saar in Germany. The German authorities have been informed by the Civil Protection authorities via cross-border procedures.,"The following action was taken as soon as the anomaly was discovered: decrease in hydraulic load, testing of alternative flocculents, chlorination then re-inoculation of the plant. Before being discharged into the natural environment, the effluent is treated by large mobile units (filtration and coagulation/flocculation/decanting) starting from the fifth day (operating cost: EUR 0.5 m). Production has been slowed down in several sections on the site until the treatment plants are brought back into operation; one has been stopped, while the operation of two others has been reduced to 30-50%, resulting in high operating losses. Some of the effluent that feeds the biological treatment plant is being kept in storage in order to limit the organic load at the entrance to the plant. Medium-term surveillance of the environment has been put in place in order to assess the impact of the accident (ecotoxicological testing of Daphnia). An unannounced check carried out by the authority for the inspection of classified installations 10 days after the accident found that the effluents discharged into the environment were in compliance with the rules in force.","A study of the water treatment works at the site should eventually be carried out in order to justify their size (closure of several installations, with the result that the water treatment works are oversized)."
3,257,Major Accident,"Waste storage, treatment and disposal",Accident  in a waste oil de-oiling storage tank during maintenance,1990-02-06 01:30:00,1990-02-06 00:00:00,"SAFETY SYSTEMS OR OPERATORS INTERVENTION:The pumping of the fuel/water mixture to the storage tank was halted. The cooling of the neighbouring tanks was activated.ENVIRONMENTAL AND ATMOSPHERIC CONDITIONS:Stormy weather.ACCIDENT CASE HISTORY DESCRIPTION:The accident occurred in a waste oil de-oiling storage tank where waste oil and other contaminated flammable liquid wastes, like toluene and xylene, were separated out by gravity from the water contents. Water was discharged from the bottom of the tank and the floating fuel used in treatment furnaces.The vapours displaced during transfer operations were passed through an active carbon filter. Owing to self-overheating in this absorption unit, the vapours ignited; as no flame arrestors had been installed, a flashback occurred to the de-oiling tank. The following explosion (deflagration) tore the roof partly loose from the sidewall and destroyed the cooling unit and foam chamber of the tank. The subsequent fire also threatened other storage tanks, and a boil-over danger existed.&nbsp; Fire brigades of the company, a neighbouring Shell Chemical factory and from local and regional communities were activated to fight the fire. Cooling of the neighbouring tanks by means of their water-cooling rings and additional portable/mobile fire fighting equipment employed by the fire brigade was started to prevent escalation. The tank was left to burn until adequate foam concentrate and water pumping capacity were available to undertake a successful foam attack using monitors (a second foam unit was on stand-by to fight pitfires should a boil-over occurred). Additional fire fighting water had to be supplied by a fire fighting boat because one of the two fire fighting water pumps of the installation failed. After the fire had been extinguished, the contents of the remaining tank were cooled down and, several days later, to the furnaces.","CAUSES:The vapours displaced from the waste oil de-oiling tank during transfer operations were passed through an active carbon filter. Owing to self-heating in this absorption unit, the vapours ignited. As no flame arrestors had been installed (due to an inadequate plant design and to an insufficient process analysis), a flashback occurred to the de-oiling tank resulting in an explosion (deflagration) inside it.","People - Remarks: No people were injured during the accident.Material loss - Remarks: Apart from damage to the tank construction, many electrical pumps were damaged owing to flooding by cooling and firefighting water. No data are available about the cost of the damages.Affected Area: installationAffected Area: establishment","INTERNAL TO THE ESTABLISHMENT:The fire that followed the explosion also threatened the other storage tanks, and a boil-over danger existed.&nbsp; Fire brigades of the company, a neighbouring Shell Chemical factory and from local and regional communities were activated to fight the fire. Cooling of the neighbouring tanks by means of their water-cooling rings and additional portable/mobile fire fighting equipment employed by the fire brigade was started to prevent escalation; the tank was left to burn until adequate foam concentrate and water pumping capacity were available to undertake a successful foam attack using monitors (a second foam unit was on stand-by to fight pitfires should a boil-over occurred). Additional fire fighting water had to be supplied by a fire fighting boat because one of the two fire fighting water pumps of the installation failed. After the fire had been extinguished, the contents of the remaining tank were cooled down and, several days later, to the furnaces.","Measures to prevent recurrence: After the accident, the following measures were established:
1- monitoring the temperature of the absorption unit and, eventually, the installation of a fire extinguishing unit;
2- installation of flame arrestors.Measures to mitigate consequences: After the accident, the following measures were established:
1- installation of (semi) sub-surface foam application devices for these tanks instead of foam chambers;
2- the operational plans of the fire brigade to evaluated as to the time necessary to get the right equipment and skilled decision-makers onto the scene."
4,658,Major Accident,"Handling and transportation centres (ports, airports, lorry parks, marshalling yards, etc.)",Fire in an intermediate storage for special waste,1994-06-08 00:00:00,1994-06-08 00:00:00,"In an intermediate storage for special waste an accident occurred, initially as a local fire, a few after the arrival of the voluntary firemen the fire reached also the near standing drums and resulted in considerable damage to things and buildings. The roof of intermediate store, parts of shelf, walls and ceilings and the entire enclosed fire alarm plant were destroyed. As cause of the fire it is suspected an autoignition from the chemical laboratory over samples of dangerous materials. In the course of the fire were affected by the flames also organic and inorganic chemicals from trade and industry like various acids, leach and nickel-cadmium accumulators. Concerning the formation of dioxine result various measures of ash and soil samples, that had been performed by the Water Economy and by Soil Security offices of the city nearby, they were of so small value that dying from the visibility of the soil security no other measures were necessary.",Chemical reaction. As fire ignition it is suspected an autoignition in the chemical laboratory. Lack of supervision possible.,Large material damage,not given,New supervisory concepts to be developed.
5,455,Major Accident,Textiles manufacturing and treatment,Fire in the aspiration duct for vapours and textile fibres of a dryer,1995-04-14 11:00:00,1995-04-14 00:00:00,"7 persons intoxicated, large material losses due to the accident",unknown causes,7 persons intoxicated. Plant shut down for several months. Pollution of a river.Affected Area: installationAffected Area: establishmentAffected Area: off-site: local,Spreading of absorbing products. Approx. 100 fire fighters involved.,no information is given
6,3,Major Accident,General chemicals manufacture (not otherwise specified int the list),Release of acetonitrile from a chemical wastewater drainage system at a chemical plant,2015-05-12 00:00:00,2015-05-12 00:00:00,"A hole formed in a chemical wastewater shaft, resulting in the release of contaminated chemical wastewater into the soil. The shaft is fitted with a protective coating (acid-proof liner and lead coating).&nbsp;
– A mobile gas measurement device was activated during a site inspection by the operator.– All shafts on the site were inspected.– The wastewater register was updated to include the substance acetonitrile.– Clarification of further measures with the regional government office and professional specialists.","– Damage to the inlet shaft went unnoticed.– Deficient inspection routine. The root causes can be traced to two sources. Firstly, the restructuring following a change of operator when the site was bought in 2003 plays a role. As part of that process, the in-house masonry department, which had until that time carried out inspections and maintenance of the chemical wastewater shafts, was dismantled. There was a lack of awareness of what this step would mean for plant safety or of the need to replace the department. The second main cause was a lack of coordination between the operator and the VAwS expert on regular inspections. The operator was clearly not sure what exactly had to be inspected and to what extent. Moreover, the expert’s notes give little information about the testing activities, the condition of the tested equipment and equipment components and the scope of the tests. The entry ‘OK’ on testing reports provides little information without further clarification.",Damage to property within the operating area of buildings and sewers as well as contamination of the groundwater.,"– Immediate end to letting chemical wastewater flow into the drainage system.– The shaft was emptied.
– The chemical wastewater was diverted to other inlets.– Possible building washout is to be assessed.– Cleaning of the outlet shaft, review of the building’s structural analysis.– The contaminated groundwater will be pumped out.– Expected start week&nbsp;45 of 2015.– Study commissioned on the degradation of acetonitrile in groundwater.
Model-based description of the movement of groundwater commissioned from the Tübingen Groundwater Research Institute (TGF) using the groundwater model from the municipality of Grenzach-Wyhlen based on previous incidents.","Most of the chemical wastewater shafts have now been inspected and the inspections will be completed by the end of 2016; no further leaks have yet been found.In the future, all chemical wastewater shafts will be inspected on an annual basis.The authority is kept constantly informed about inspection activities and results. The lessons that can be learnt from this are:– A change of operator and associated technical and organisations changes can have a considerable impact on plant safety. Of particular importance are aspects concerning plant integrity (inspection, upkeep and maintenance). The impact on safety may not become apparent for a considerable time. The safety management system must also take into consideration organisational changes. It is recommended that such organisational changes are also taken into consideration by the authorities in conjunction with supervision.– A lack of coordination of regular inspection and testing measures may lead to incorrect interpretations when assessing the state of the equipment.– Clear findings with written descriptions and images are therefore required in order to establish the scope and detail of the inspection and the methods used. The inspection report (results) should contain a comprehensible description of the inspection carried out and an expert opinion. In particular, the results of visual inspections should be explained."
7,459,Major Accident,Plastic and rubber manufacture,Destruction of a plant by a fire from a flammable solvent drum,1995-07-24 06:00:00,1995-07-24 00:00:00,"Total destruction of a plant by a fire. Significant material losses, ecological harm and injuries.",ignition of solvent vapours,general conflagration (full fire development ) in the plantAffected Area: installationAffected Area: establishmentAffected Area: off-site: local,80 fire-fighters have fought the fire for 2 hours.Official action taken - other official action: monitoring of the underground water,Introduction of protection measures for a transformer containing PCB. Probably the destroyed installations will not be rebuilt
8,777,Other Event,"Handling and transportation centres (ports, airports, lorry parks, marshalling yards, etc.)",Burnt down of a warehouse in a handling and transporting centre,1997-08-19 16:20:00,1997-08-19 19:00:00,A warehouse of 30000 m2 was burnt down.,The cause of the fire is unknown.  A malicious act is suspected.,No victims.  Few consequences for the environment (atmospheric pollution).Emission of a large smoke cloud.Affected Area: installationAffected Area: establishment,Major emergency service response.Emergency measures - Remarks: Use of a sea-going tug's pumps.  The measures taken were dictated by the presence of ammonia.Official action taken - legal action: Prosecuted for not having made the required declaration nor having the required permission.,Measures to prevent recurrence: Need to respect the legal requirements.  Ensure appropriate surveillance of dangerous installations to prevent malicious acts.
9,1189,Near Miss,Wood treatment and furniture,Release of cooking acid (pulping liquor) and sulphur dioxide in a pulp production plant,2019-05-11 04:55:00,2019-05-11 07:20:00,"Corrosion-related bursting of a DN 80 stainless steel clad blind flange on a container.04:55:Alarm given by internal gas sensors, prompt search for the leak, which was detected shortly afterwards on a container.05:04:First ""2 ppm"" pre-alarm at the Gate 1 gas detection unit, which is connected to an emergency control room.05:10:Installation and commissioning of two water curtains.05:14:Second ""2 ppm"" pre-alarm at Gate 1 gas detection unit.05:20:Employee of the boiler house blocks access through Gate 1 (carrying breathing apparatus).05:23:Start emptying the container by pumping its contents into empty digesters.05.33:""&gt;4 ppm"" gas alarm at Gate 1 gas detection unit, thus automatically alerting the fire brigade.05:39:Arrival of the fire brigade and parts of the on-site fire brigade – assessment of the situation, closure of a main road at the site.06:00:Container emptied, no more leakage of cooking acid. Start pumping the cooking acid that has flowed into the catch pan towards the measuring tank and onwards for processing in the evaporation system.07:05:Clearance measurements taken by fire brigade measuring vehicle.07:22:All clear given, fire brigade stands down and leaves.Safety measures:Internal gas sensors made it possible to locate the leak quickly. The gas warning system at Gate 1 triggered an automatic alarm to the emergency control room and to all staff at the plant.155 m³ of the cooking acid contained in the container could thus be pumped into an empty digester, with the result that only 10 m³ of cooking acid escaped into the catch pan.The plant’s own water curtains were immediately set up. The fire brigade was very quickly at the scene and closed a main road passing in front of the site.The safety system worked very well.","The release was caused by the corrosion of a stainless steel clad DN 80 blind flange on a cooking acid container.The most likely mechanism is mechanical damage to the welded stainless steel cladding, which allowed cooking acid to reach the underlying black steel.Corrosion of the black steel was able to continue undetected until it burned through the blind flange. This was followed by a very rapid erosion of the material and a widening of the corrosion hole.The cooking acid container was built in 1965. The extent to which the blind flanges also date back to that year is unknown, but it cannot be ruled out.The tank was originally constructed as a digester and was sold second-hand many years ago to the current plant operator, where it has since been used as a high pressure (approximately 7 bar) storage tank.There was no monitoring of the blind flanges.",Three injured workers.,"Staff were alerted by internal gas sensors so that the leak was quickly detected. Installation of the plant’s own water curtains to reduce impacts. Blocking of access to the works by its own staff (with appropriate protective equipment). Automatic alerting of the emergency control room by gas sensors. Container emptied by pumping its contents into an empty digester, pumping of the cooking acid that had leaked into the catch pan to the evaporation system. Closure of a main road in front of the site and final clearance measurement by the fire brigade.","Replace the stainless steel clad blind flange cover with solid stainless steel flange cover on the container.Additional check on the thickness of the material and the weld on the lower cone of the container by an external specialist firm (non-destructive material test).Putting into service of the container only after further internal checks and strength testing by an authorised testing body.Wall thickness checks of similar clad blind flange covers in the lower pressure level containers and, if necessary, replacement with solid stainless steel blind flanges.The lessons learned from this event are complex:- The fact that undetected corrosion could take place shows the importance of identifying such potential sites and using appropriate non-destructive test methods on a regular basis. In this case, for example, sound emission tests would be one way of promptly detecting the formation of corrosion voids behind the cladding.- The age of the equipment certainly plays an important role, as more modern containers are usually equipped with 100% stainless steel blind flanges.- The lessons can also be applied to reactors with other corrosion-resistant coatings.- Where damage to the protective layer may occur, as a result of which the more sensitive layer is exposed and the damage is not detected in good time, a disastrous break-through and release of substances can occur. Accordingly, the maintenance and inspection plans relating to such systems must be reviewed and, if necessary, amended.- Aging installations for which complete history documentation may not be available must be treated with a commensurate level of caution.Examine whether additional gas sensors in the area of cooking acid treatment can help to locate leaks more quickly."
